Transaction Date,Customer ID,Contractor ID,Service Code,Shift Total
2/11/2018,331,98093,UN,12
1/29/2018,331,86682,UN,9
1/30/2018,331,86682,UN,9
1/31/2018,331,86682,UN,9
2/1/2018,331,86682,UN,9
2/2/2018,331,86682,UN,8
2/5/2018,331,86682,UN,9
2/6/2018,331,86682,UN,9
2/7/2018,331,82211,UN,9
2/8/2018,331,86682,UN,9
2/9/2018,331,86682,UN,8
1/29/2018,331,60787,UN,10
1/30/2018,331,60787,UN,10
1/31/2018,331,27640,UN,10
2/1/2018,331,60787,UN,10
2/2/2018,331,60787,UN,9
2/5/2018,331,60787,UN,10
2/6/2018,331,60787,UN,10
2/7/2018,331,60787,UN,10
2/8/2018,331,60787,UN,10
2/9/2018,331,60787,UN,10
1/29/2018,331,74324,UN,12
1/30/2018,331,74324,UN,12
1/31/2018,331,74324,UN,12
2/1/2018,331,74324,UN,12
2/2/2018,331,26503,UN,12
2/5/2018,331,74324,UN,12
2/6/2018,331,74324,UN,12
2/7/2018,331,74324,UN,12
2/8/2018,331,74324,UN,12
2/9/2018,331,74324,UN,12
1/29/2018,331,10760,UN,11.5
1/30/2018,331,10760,UN,11.5
1/31/2018,331,10760,UN,11.5
2/1/2018,331,10760,UN,11.5
2/2/2018,331,10760,UN,11.5
2/3/2018,331,10760,UN,5.25
2/4/2018,331,10760,UN,7
2/5/2018,331,10760,UN,11.5
2/6/2018,331,10760,UN,11.5
2/7/2018,331,10760,UN,11.5
2/8/2018,331,10760,UN,11.5
2/9/2018,331,10760,UN,11.5
1/29/2018,331,32917,UN,10
1/30/2018,331,32917,UN,10
1/31/2018,331,14136,UN,10
2/1/2018,331,32917,UN,10
2/2/2018,331,32917,UN,9.5
2/5/2018,331,32917,UN,10
2/6/2018,331,32917,UN,9.5
2/7/2018,331,32917,UN,9.75
2/8/2018,331,32917,UN,10
2/9/2018,331,32917,UN,10
1/29/2018,331,69488,UN,10.75
1/30/2018,331,69488,UN,10.75
1/31/2018,331,69488,UN,10.5
2/1/2018,331,69488,UN,11
2/2/2018,331,69488,UN,10.25
2/5/2018,331,69488,UN,10.5
2/6/2018,331,69488,UN,10.25
2/7/2018,331,69488,UN,10
2/8/2018,331,69488,UN,10.5
2/9/2018,331,69488,UN,10.75
1/29/2018,331,37123,UN,10.5
1/29/2018,331,75807,UN,8.25
1/30/2018,331,37123,UN,10.5
1/30/2018,331,75807,UN,8.25
1/31/2018,331,37123,UN,10.25
1/31/2018,331,75807,UN,8
2/1/2018,331,37123,UN,10.5
2/1/2018,331,75807,UN,8
2/2/2018,331,37123,UN,10
2/2/2018,331,75807,UN,8
2/5/2018,331,37123,UN,10.75
2/5/2018,331,75807,UN,8.5
2/6/2018,331,37123,UN,10.25
2/6/2018,331,75807,UN,8
2/7/2018,331,37123,UN,10.25
2/7/2018,331,75807,UN,8
2/8/2018,331,37123,UN,10.75
2/8/2018,331,75807,UN,8.5
2/9/2018,331,37123,UN,10.5
2/9/2018,331,75807,UN,8.25
1/29/2018,331,43516,UN,11
1/30/2018,331,43516,UN,10.5
1/31/2018,331,43516,UN,10
2/1/2018,331,43516,UN,10
2/2/2018,331,43516,UN,11
2/5/2018,331,43516,UN,10
2/6/2018,331,43516,UN,10
2/7/2018,331,43516,UN,10
2/8/2018,331,43516,UN,10
2/9/2018,331,43516,UN,10.5
1/29/2018,331,34109,UN,10
1/30/2018,331,34109,UN,10
1/31/2018,331,34109,UN,10
2/1/2018,331,34109,UN,10
2/2/2018,331,34109,UN,11
2/5/2018,331,74260,UN,10
2/6/2018,331,74260,UN,10
2/7/2018,331,74260,UN,11
2/8/2018,331,34109,UN,10
